jobid,total_energy
13831,483600.0
13836,251300.0
13847,254000.0
13858,81800.0
13839,262700.0
13843,387400.0
13863,52600.0
13848,552900.0
13844,552500.0
13853,623000.0
13868,207400.0
13877,81900.0
13878,83500.0
13879,81700.0
13881,57000.0
13887,55500.0
13893,268400.0
13448,902513000.0
13900,58200.0
13896,85300.0
13899,81000.0
13901,207300.0
13929,45400.0
13931,66000.0
13894,2508800.0
13917,175400.0
13904,241400.0
13937,2108000.0
13936,455400.0
13913,255000.0
13921,266000.0
13914,344000.0
13927,350400.0
13942,93400.0
13939,99000.0
13943,1932000.0
13910,456600.0
13944,1758260.0
13945,1586780.0
13946,2413560.0
13916,818000.0
13948,688200.0
13947,218300.0
13908,1035000.0
13957,1670610.0
13907,1130300.0
13961,1688000.0
13951,1467200.0
13938,39525800.0
13974,2338730.0
13977,1817360.0
13981,2142360.0
13983,79400.0
13984,82600.0
13987,2015130.0
13990,2365270.0
14014,3352510.0
14001,198200.0
14007,218000.0
14026,2909140.0
13995,256000.0
14011,277000.0
14015,286600.0
14016,327200.0
13993,394800.0
14028,63000.0
14010,435300.0
14029,3780340.0
14023,415300.0
14032,3217280.0
14017,703000.0
14030,426000.0
13996,890900.0
14000,1042600.0
14036,182000.0
14038,213800.0
14047,235000.0
13909,3945260.0
14035,440400.0
14043,360500.0
14055,359000.0
14056,88100.0
14058,56000.0
14059,57400.0
14062,51700.0
14065,57800.0
14061,215000.0
14089,48000.0
13963,15338000.0
14041,1144000.0
14073,198100.0
14076,193600.0
14088,197600.0
14096,208000.0
14098,190000.0
14066,256000.0
14093,270000.0
14087,283000.0
14110,192000.0
14123,51000.0
14120,52500.0
14083,331000.0
14115,143900.0
14111,214700.0
14103,343400.0
14104,358000.0
14081,416800.0
14084,425200.0
14114,276300.0
14106,381000.0
14072,498560.0
14126,62600.0
14102,476200.0
14127,48000.0
14124,228300.0
14129,39000.0
14131,50000.0
14086,644100.0
14128,223910.0
14119,2533330.0
14113,662600.0
14091,883700.0
14099,960000.0
14100,1036400.0
14052,1940000.0
14042,2226300.0
14069,1134000.0
14133,2170000.0
14136,220000.0
14138,56000.0
14140,219400.0
14144,289490.0
14139,275000.0
14184,174300.0
14174,232000.0
14160,233000.0
14168,275500.0
14171,280000.0
14152,530000.0
14151,545300.0
14170,303700.0
14175,325400.0
14145,641100.0
14183,369700.0
14177,370300.0
14182,377000.0
14179,719000.0
14173,811000.0
14148,1093400.0
14180,900000.0
14163,932700.0
14164,1043600.0
14193,48000.0
14158,2138700.0
13826,54797100.0
14204,139300.0
13959,45183000.0
13958,9668500.0
14203,2979580.0
14202,17729600.0
13845,14301700.0
13854,13633000.0
14212,1601400.0
14199,7764000.0
14198,7722000.0
14226,47000.0
14227,49000.0
14211,45547200.0
14228,1184000.0
14229,1235600.0
13969,3770810000.0
14231,3574800.0
14230,3580440.0
14205,53410500.0
14234,122000.0
14236,146133000.0
14238,51000.0
14239,199000.0
14249,166700.0
14252,180200.0
14260,232000.0
14242,229000.0
14261,271000.0
14253,304500.0
14248,301400.0
14257,491000.0
14266,572600.0
14243,545000.0
14245,2579900.0
14244,2528060.0
14282,179000.0
14286,220300.0
14269,218000.0
14277,299400.0
14289,325000.0
14281,354900.0
14278,366300.0
14270,529000.0
14290,721500.0
14233,45118800.0
14294,329000.0
14224,14126500.0
14235,53663100.0
14296,127000.0
13825,35813000.0
13817,15122100000.0
13991,1343080000.0
14295,45461100.0
14302,230500.0
14272,14236400.0
14273,15445000.0
14306,288040.0
14314,45470.0
14320,87940.0
14315,451600.0
14325,448000.0
14326,479600.0
14330,166000.0
14332,618800.0
14329,436800.0
14335,672000.0
14336,437600.0
14343,254800.0
14322,1407740.0
14298,54105000.0
14353,1861040.0
14344,4842400.0
14358,2466610.0
14360,5029350.0
14362,135600.0
14363,86000.0
14359,303600.0
14366,221960.0
14367,130400.0
14369,5050820.0
14368,866400.0
14371,204800.0
14304,40371000.0
14374,297400.0
14365,26932900.0
14375,408400.0
14373,261340.0
14378,303200.0
14381,302800.0
14370,627000.0
14383,116160.0
14382,5120170.0
14384,294600.0
14385,425000.0
14390,95840.0
14394,299400.0
14392,360800.0
14389,127000.0
14397,306667.0
14396,318000.0
14401,280600.0
